car_model,year_of_manufacture,price,fuel
ritz,2014,5000.0,Petrol
sx4,2013,7089.55,Diesel
ciaz,2017,10820.9,Petrol
wagon r,2011,4253.73,Petrol
swift,2014,6865.67,Diesel
vitara brezza,2018,13805.97,Diesel
ciaz,2015,10074.63,Petrol
s cross,2015,9701.49,Diesel
ciaz,2016,13059.7,Diesel
ciaz,2015,11119.4,Diesel
alto 800,2017,4253.73,Petrol
ciaz,2015,10223.88,Diesel
ciaz,2015,11194.03,Petrol
ertiga,2015,9104.48,Petrol
dzire,2009,3358.21,Petrol
ertiga,2016,11567.16,Diesel
ertiga,2015,10820.9,Diesel
ertiga,2016,11567.16,Diesel
wagon r,2015,4850.75,CNG
sx4,2010,3955.22,Petrol
alto k10,2016,4253.73,Petrol
ignis,2017,7313.43,Petrol
sx4,2011,6567.16,Petrol
alto k10,2014,3731.34,Petrol
wagon r,2013,4328.36,Petrol
swift,2011,4477.61,Petrol
swift,2013,6194.03,Petrol
swift,2017,8955.22,Petrol
alto k10,2010,2910.45,Petrol
ciaz,2015,11119.4,Diesel
ritz,2012,4626.87,Diesel
ritz,2011,3507.46,Petrol
swift,2014,7388.06,Diesel
ertiga,2014,8955.22,Diesel
dzire,2014,8208.96,Diesel
sx4,2011,4402.99,CNG
dzire,2015,6940.3,Petrol
800,2003,522.39,Petrol
alto k10,2016,4477.61,Petrol
sx4,2003,3358.21,Petrol
baleno,2016,8731.34,Petrol
alto k10,2014,3805.97,Petrol
sx4,2008,2910.45,Petrol
dzire,2014,8208.96,Diesel
omni,2012,1865.67,Petrol
ciaz,2014,11194.03,Petrol
ritz,2013,3955.22,Petrol
wagon r,2006,1567.16,Petrol
ertiga,2015,8656.72,Petrol
ciaz,2017,11567.16,Petrol
fortuner,2012,22238.81,Diesel
fortuner,2015,34328.36,Diesel
innova,2017,26865.67,Diesel
fortuner,2013,23880.6,Diesel
innova,2005,4104.48,Petrol
corolla altis,2009,5373.13,Petrol
etios cross,2015,6716.42,Petrol
corolla altis,2010,7089.55,Petrol
etios g,2014,6119.4,Petrol
fortuner,2014,29835.82,Diesel
corolla altis,2013.0,10373.13,Petrol
etios cross,2015.0,6716.42,Petrol
fortuner,2014.0,27985.07,Diesel
fortuner,2015.0,35074.63,Diesel
fortuner,2017.0,49253.73,Diesel
etios liva,2014.0,7089.55,Diesel
innova,2017.0,29477.61,Petrol
fortuner,2010.0,13805.97,Diesel
corolla altis,2011.0,6492.54,Petrol
corolla altis,2016.0,21268.66,Petrol
etios liva,2014.0,5895.52,Diesel
corolla altis,2011.0,6716.42,Diesel
corolla altis,2013.0,11119.4,Petrol
etios liva,2011.0,3955.22,Petrol
etios cross,2014.0,7313.43,Diesel
etios g,2015.0,5895.52,Petrol
corolla altis,2013.0,8208.96,Petrol
corolla,2004.0,2238.81,Petrol
corolla altis,2010.0,7835.82,Petrol
fortuner,2012.0,21641.79,Diesel
corolla altis,2016.0,21985.07,Diesel
etios gd,2015.0,7089.55,Diesel
innova,2017.0,34328.36,Diesel
innova,2015.0,18656.72,Diesel
innova,2005.0,5208.96,Diesel
camry,2006.0,3731.34,Petrol
land cruiser,2010.0,52238.81,Diesel
corolla altis,2012.0,8805.97,Petrol
etios liva,2013.0,5149.25,Petrol
etios g,2014.0,7089.55,Petrol
